Name,BSE Code,NSE Code,Industry,Current Price,Average return on equity 5Years,Total Assets,Price to book value,EPS,Historical PE 7Years,Price to Earning,Price to Cash Flow,Market Capitalization,Return over 1year,Return over 5years,Return over 3years,Average return on equity 3Years,Price to Sales,Cash Equivalents,Free cash flow last year,Return on assets 3years,ROCE3yr avg,Altman Z Score,Historical PE 5Years,Average Working Capital Days 3years,Average debtor days 3years,Sales growth 3Years,Sales growth 5Years,Profit growth 3Years,Profit growth 5Years,EPS growth 3Years,EPS growth 5Years,EPS growth 7Years,Change in promoter holding 3Years,Average EBIT 5Year,Average Earnings 5Year,EBIDT growth 3Years,EBIDT growth 5Years,EBIDT growth 7Years,Sales growth 5years median,Debt 3Years back,Debt 5Years back,Net block 3Years back,Net block 5Years back,Working capital 3Years back,Working capital 5Years back,Net block,Debt,Working capital,Free cash flow 3years,Free cash flow 5years,Operating cash flow 3years,Operating cash flow 5years,Investing cash flow 3years,Investing cash flow 5years,Book value 3years back,Book value 5years back,Inventory turnover ratio 3Years back,Inventory turnover ratio 5Years back,Exports percentage 3Years back
Jindal Poly Inve,536773,JPOLYINVST,Finance,942.65,,1568.51,0.65,287.91,2.01,3.27,761.37,990.73,15.27,125.27,32.94,12.49,31.08,0.02,1.3,11.84,15.21,2.98,2.01,-18.03,0,-76.61,98.43,-20.97,38.8,-20.97,38.8,14.29,0,545.89,291.47,-43.33,44.45,17.06,2.91,1628.25,472.11,5836.05,9.46,11.3,-370.58,0,26.96,-3.09,1085.49,1782.34,1085.49,1797.92,-337.85,-418.41,2336.23,-189.62,4.06,,0
Jindal Saw,500378,JINDALSAW,Industrial Products,200.92,11.63,20665.29,1.13,26.92,10.19,7.46,5.5,12849,-41.88,44.67,64.12,14.93,0.64,770.28,1324.31,6.04,17.26,3.36,10.3,24.89,65.22,16.13,12.37,62.35,23.92,62.35,23.92,39.64,0.23,1875.28,964.16,32.38,17.33,17.47,17.29,6031.2,5648.8,7356.76,7491.23,117.89,-25.34,9341.01,4859.18,3120.33,4445.05,5338.77,6543.9,8187.08,-2882.7,-3431.93,115.16,109.2,2.55,2.32,0
Jindal Stain.,532508,JSL,Ferrous Metals,755.7,21.8,35917.02,3.73,31.22,11.45,24.16,13.19,62252.27,4.08,74.62,78.62,18.34,1.55,2269.87,2889.66,8.3,20.38,5.03,13.42,21.63,31.03,6.3,24.87,-6.62,105.2,-19.61,84.74,23.02,-8.99,3331.72,2137.57,-2.28,33.18,19.58,8.03,4007.25,3902.9,8646.22,6180.58,3257.8,-774.3,14800.22,6401.87,3551,7704.45,8919.73,12632.12,14977.98,-9142.61,-10279.85,186.93,65.78,4.82,3.05,0
Jindal Steel,532286,JINDALSTEL,Ferrous Metals,1034.85,12.13,85765.64,2.24,29.08,15.3,27.63,9.75,105563.82,8.48,38.3,33.74,10.7,2.18,4180.05,334.27,6.34,12.67,3.56,14.8,-31.51,9.56,-0.68,5.74,-16.21,117.63,-16.21,117.63,28.17,1.91,8797.59,4610.65,-14.97,6.31,5.71,-0.45,13501.64,36824.37,45487.75,69381.17,3574.46,-7289.81,48988.76,18406.08,-674.9,-1138.68,23161.02,24179.72,52188.42,-24757.25,-28972.8,349.23,311.9,3.98,2.45,0
Jindal Worldwide,531543,JINDWORLD,Textiles & Apparels,36.3,13.97,1795.82,4.61,0.75,52.08,48.36,21.77,3639.45,-50.33,30.02,-5.74,13.15,1.55,305.7,146.38,5.55,11.92,5.84,66.81,42.32,97.33,-3.66,0.8,-11.4,21.67,-11.4,21.67,4.17,-1.54,161.1,81.25,-3.92,6.28,0.56,-12.36,598.6,528.55,204.72,295.65,430.04,227.36,350.87,795.82,569.09,216.91,253.47,478.76,467.44,-220.3,-166.06,5.34,4.19,7.34,5.01,0
Jio Financial,543940,JIOFIN,Finance,309.4,,133499.98,1.59,2.56,124.16,122.67,-19.49,196570.61,-8.15,,,,87.85,4071.78,-10125.19,,1.51,3.75,124.16,1209.27,39.33,,,,,,,,,,,,,,10.17,,,,,,,179.92,3970,3863.74,-8748.65,,-8706.06,,6737.48,,,,,,
JITF Infra Logis,540311,JITFINFRA,Other Utilities,406.55,,4234.74,,12.3,124.08,,5.65,1044.98,-58.16,124.06,40.61,,0.44,339.35,-92.7,-0.64,12.44,1.25,124.08,44.35,116.04,22.44,21.82,24.67,14.11,24.67,14.11,9.96,0.01,248.54,-79.16,41.09,35.6,55.67,28.79,2931.42,2010.5,1235.15,603.22,300.2,173.09,1929.13,3503.53,567.11,-232.89,-628.99,621.04,726.44,-419.24,-931.7,-298.1,-242.81,6.84,5.36,0
Jiwanram Sheo,,JIWANRAM,Industrial Products,8.3,3.78,136.21,0.32,0.93,9.81,7.64,6.68,20.54,-44.48,,,5.12,0.38,0.35,5.36,2.3,5.37,2.06,9.81,519.73,339.4,16.51,18.63,69.74,60.83,-0.73,16.57,11.21,,4.75,1.91,19.39,6.62,48.74,24.18,52.31,46.09,27.32,29.85,51.48,38.6,22.02,44.59,72.15,1.63,-3.95,0.15,-8.04,3.01,4.06,,,0.76,0.66,69.22
JK Agri Genetics,536493,,Agricultural Food & other Products,530.6,,297.29,2.29,-5.41,,,71.37,246.04,-2.99,-5.94,0.93,,1.52,5.92,72.43,,0,2.05,,-138.95,95.52,,,,,,,,0,,,,,,,,,,,,,18.64,3.2,-55.67,,,,,,,,,,,
JK Lakshmi Cem.,500380,JKLAKSHMI,Cement & Cement Products,927.85,15.01,8479.14,3.15,31.55,20.42,29.41,13.95,10918.02,17.93,29.08,22.91,12.36,1.71,196.9,130.33,5.39,13.91,3.64,19.79,-31.45,4.13,4.54,7.25,-13.16,3.97,-13.16,3.97,35.95,0.03,728.34,395.33,-2.69,2.26,10.34,8.33,1886.54,1987.08,3535.73,3585.32,-399.99,-889.9,5626.67,2613.91,-98.63,-74.33,1105.26,2316.08,4027.87,-2330.52,-3429.52,212.9,178,4.98,4.53,0
JK Paper,532162,JKPAPER,"Paper, Forest & Jute Products",400.3,18.27,9541.54,1.25,20.74,8.33,19.3,11.06,6781.18,-10.29,33.93,-1.69,19.73,1.02,41.35,364.52,10.09,19.13,2.97,8.48,29.58,21.03,19.18,17.03,-11.33,-4.38,-11.33,-3.4,6.07,0,1071.46,676.24,-3.9,0.48,6.58,3.46,3136.98,1782.25,5280.45,3141.67,109.05,20.38,6256.79,1885.14,905.46,3056.11,2307.24,3751.07,4999.86,-1351.46,-3506.73,176.86,148.53,4.93,3.73,0
JK Tyre & Indust,530007,JKTYRE,Auto Components,348.1,12.54,14434.76,1.97,16.38,12.5,20.67,13.33,9538.64,-16.12,42.54,29.79,13.86,0.64,711.38,127.98,4.16,14.4,2.91,14.87,3.25,64.75,7.03,10.99,35.37,12.15,30.63,9.78,47.45,-5.71,1105.32,426.07,14.75,10.54,11.54,4.35,5220.38,5548.71,6429,6381.67,-264.03,1869.62,6751.53,4911.15,1142.51,1823.62,3316.39,3554.12,5498.61,-2063.59,-2442.47,115.68,108.55,4.04,3.42,0
JLA Infraville,538765,,Retailing,5.81,0.65,8.83,0.49,-0.25,62.33,,-377.65,3.77,-2.68,-25.61,2.41,0.64,,0,-0.01,0.64,1.12,1.76,20.32,67525,182.5,,,,,,,,0,0.08,0.05,,,,-100,0.01,0.03,0.11,0.25,0.99,4.56,0.05,0.01,-0.81,-0.01,-0.85,-0.02,-0.85,0.01,0.14,11.69,11.6,,,0
JM Financial,523405,JMFINANCIL,Finance,184.38,8.27,24347.34,1.81,11.55,12.36,15.96,3.17,17629.72,48.43,17.55,42.25,7.35,4,4508.84,5536.27,1.89,9.27,2.52,13.03,201.74,77.21,5.79,5.06,2.01,8.53,1.94,5.8,2.61,1.1,2360.09,645.08,-1.41,-1.27,0.21,-6.81,13498.04,11755.67,413.71,449.98,4908.27,3552.06,579.04,11507.36,5589.36,6687.08,4175.41,6896.53,4407.73,-5156.06,-4790.89,80.56,73.47,,,0
JMD Ventures,511092,,Entertainment,5.93,1.91,40.64,0.45,0.31,28.66,22.51,1713.77,17.11,-67.51,,-1.47,5.39,33.55,0.09,0,5.14,7.12,3.12,28.89,2802.26,507.86,18.84,14.71,93.25,52.75,93.32,52.78,15.92,-1.3,1.02,0.66,129.74,82.06,18.32,41.55,0,0,3.19,3.35,28.71,32.15,3.24,0,34.89,0.19,0.04,0.41,0.22,-0.15,-0.14,11.22,11.17,0.24,0.59,0
JMG Corporation,523712,,Industrial Products,6.2,-7.72,8.29,1.99,-0.04,67.4,,71.92,14.36,102.61,47.77,56.42,-0.33,12.82,0.48,0.19,-0.26,0.85,4.29,105.9,270.43,215.82,-26.21,14.87,27.03,36.08,27.03,33.75,12.5,0,-0.52,-0.59,28.55,52.81,30.17,45.16,0.77,0,0.68,0,1.45,2.75,0.68,0.6,1.07,-0.08,-3.49,-0.07,-2.8,0.58,0.92,3.14,3.83,,,0
JMJ Fintech,538834,,Finance,14.28,10.42,52.96,2.21,1.18,25.59,7.29,-5.88,32.72,0.71,35.3,26.17,16.18,1.76,5.74,-9.85,8.13,22.86,3.2,25.59,151.34,0,199.25,49.72,369.36,72.46,364.42,71.51,107.74,-9.06,3.2,1.44,508.4,99.54,147.13,95.29,0,2.16,0.03,0,2.26,1.57,0.86,0,24.48,-21.59,-17.79,-20.32,-16.49,-1.5,-1.53,3.13,3.11,0.62,0.81,0
JNK,544167,JNKINDIA,Industrial Manufacturing,292.4,27.72,788.26,3.24,4.45,50.38,66,-24.99,1636.09,-59.14,,,22.88,3.38,185.17,-73.8,11.42,38.15,5.75,50.38,124.86,175.47,17.86,35.91,-5.67,28.15,-47.53,-48.23,,,60.02,38.16,6.07,38.5,,18.97,14.98,0.39,20.08,1.23,43.63,13.72,28.67,18.64,459.11,-110,-86.99,-82.71,-36.71,-52.96,-85.87,,,2.78,9.25,74.64
Jocil,,JOCIL,Chemicals & Petrochemicals,164.02,3.32,287.68,0.71,1.34,18.25,122.39,14.01,145.65,-25.79,-2.45,-7.06,2.03,0.16,25.51,1.64,1.63,2.9,5.51,21.7,48.41,27.29,4.73,14.17,-48.04,-39.65,-48.04,-39.65,-18.23,0,8.9,6.71,-24.36,-21.85,-8.03,21.99,4.35,8.31,47.04,48.36,145.41,131.17,36.92,0,131.99,52.19,39.65,65.31,62.47,-30.9,-37.33,229.29,220.81,0,6.08,0
John Cockerill,500147,,Industrial Manufacturing,4393.95,2.15,570.3,10.71,-16.2,49,,-32.58,2169.65,-12.59,44.35,46.7,4.27,7.07,123.78,-76.67,1.7,6.86,7.35,112.02,10.48,137.86,25.2,-4.77,22.01,,22.01,,,0,8.42,4.17,27.14,-52.06,-27.98,-25.12,0.17,0,54,59.66,112.77,116.68,55.95,4.92,132.41,-38.12,-119.22,-22.67,-101.63,-8,-5.89,354.94,419.98,9.3,16.14,0
Johnson Con. Hit,523398,JCHAC,Consumer Durables,1729.4,-0.25,1799.17,7.34,13.95,89.48,116.68,56.5,4702.24,-19.35,-4.01,2.72,-2.78,1.8,137.43,68.27,-0.99,-1.02,6.45,120.24,26.32,58.93,8.48,4.64,53.85,-6.49,53.85,-6.49,-6.86,0,7.61,-1.72,15.22,-2.5,-3.54,10.44,112.46,186.89,391.11,400.74,383.83,311.93,333.69,42.04,297.74,212.15,404.12,306.81,573.1,-75.48,-147.55,272.1,265.47,2,1.46,0
Johnson Pharma,532154,,Commercial Services & Supplies,0.79,-0.03,57.92,0.77,-0.01,86,,-22.75,43.45,-38.28,23.95,1.75,-0.11,,0.01,-1.91,-0.11,-0.13,2.54,86,-141.38,0,,,,,,,,0,-0.02,-0.02,,,,-22.39,0.61,0.63,0,0,-0.04,4.89,0,0.61,0.21,-2.36,2.43,-2.36,2.43,2.33,-2.68,1.06,1.06,,,0
Joindre Capital,531861,,Capital Markets,49.77,6.91,145.97,0.87,5.25,10,9.47,-12.63,68.86,-20.53,21.24,19.73,6.65,1.52,97.25,-5.85,3.27,12.35,2.55,9.99,-301.44,89.5,8.77,18.34,16.29,53.16,16.29,53.16,7.46,-0.03,8.9,4.82,17.31,47.66,10.49,33.19,5.12,0,1.9,0.5,62.5,51.5,1.83,1.02,52.11,-20.09,10.85,-19.07,12.09,26.11,38.93,50.45,46.78,,,0
Jointeca Educati,534659,,IT - Software,5.2,-12.65,7.65,0.98,-1.52,,,260,5.21,-46.34,-19.52,-25.7,-15.75,24.81,0.02,0.02,-12.81,-13.38,1.23,,-6239.76,344.14,73.8,13.81,-21.7,-14.8,-21.7,-14.8,-7.2,-7.52,-1.04,-1.04,0,0,,100,0.96,0.9,2.1,3.84,-1.02,-0.65,6.71,1.13,-1.72,-0.17,-0.2,-0.12,-0.15,-0.05,-0.05,8.7,9.83,,,0
Jonjua Overseas,542446,,Commercial Services & Supplies,8.55,9.98,31.67,0.71,1.02,14.54,8.43,-7.9,20.73,-13.29,-17.8,0.27,10.39,4.35,4.01,-12.73,8.14,13.08,3.28,13.85,325.95,132.1,14.96,35.35,32.82,65.19,17.37,53.38,107.69,-6.12,1.57,1.23,42.16,46.53,58.98,20.76,0.01,0.07,1.23,1.6,2.68,3.28,14.42,0.03,11.41,-6.34,-4.04,1.45,3.85,-14.47,-17.19,6.26,5.66,1.06,0.67,0
Josts Engg. Co.,505750,,Industrial Manufacturing,302.15,20.69,162.03,4.55,12.1,27.25,24.36,78.36,357.34,-49.26,42.42,44.96,23.1,1.5,6.91,-8.2,9.99,27.01,6.45,29.47,39.46,112.06,24.32,15.76,57.97,37.91,54.31,35.99,37.57,-1.22,13.86,8.68,40.52,22.98,30.88,27.46,12,27.22,22.17,23.92,14.99,13.18,20.72,23.25,38.67,-10.38,5.8,17.12,37.06,-35.51,-40.01,29.98,26.16,6.26,4.04,5.05
JP Associates,532532,JPASSOCIAT,Construction,3.61,,34602.09,,-6.02,,,1.59,886.11,-54.19,-1.28,-27.82,,0.19,1234.63,601.26,-3.19,1.46,0.12,,407.06,108.99,0.25,-3.8,6.91,8.16,6.91,8.23,6.46,-7.93,162.63,-1154.49,28.36,33.78,15.82,-9.57,19096.92,19692.46,8617.6,9588.9,8745.54,7212.88,6945.07,18497.42,5552.67,2301.65,3231.2,2488,3584.35,-201.39,-144.77,0.34,6.39,0.19,0.19,9.67
JP Power Ven.,532627,JPPOWER,Power,19.07,4.78,17785.6,1.06,1.08,21.52,17.59,7.62,13069.55,9.16,47.3,29.9,6.86,2.47,1561.29,1471.7,4.37,9.8,2.86,21.52,30.56,66.9,5.71,10.71,96.34,19.98,96.34,19.97,14.28,0,1250.43,513.38,15.93,17.19,1.61,16.87,5078.35,6023.37,13802.62,15250.98,332.78,-749.28,12695.98,3778.25,2234.94,3848,5351.65,4408.92,6066.92,-842.95,-675.63,15.16,15,5.71,6.32,0
JPT Securities,530985,,Finance,13.16,-5.49,7.26,1.19,-0.83,2.22,,197.4,3.96,23.57,5.41,21.98,-9.24,9.43,0.16,0.02,-4.82,-8.05,1.08,230.5,1241.88,0,-8.6,-8.36,,0,,0,,0,-0.22,-0.23,,-8.46,,-14.55,1.93,0.3,0.05,0.1,5.52,3.93,0.02,0.61,-2.37,-0.06,-1.66,-0.05,-1.65,1.37,1.37,14.67,14.77,,,0
JSL Industries,504080,,Electrical Equipment,1300,12.78,61.51,3.32,23.85,12.47,54.5,-975,152.6,-39.99,75.65,89.84,14.45,2.94,0.06,-0.95,10.15,19.2,6.6,12.29,159.2,23.59,-1.13,1.84,32.8,83.44,32.8,83.44,64.21,0,6.23,4.22,20.59,24.1,18.23,4.6,2.87,4.75,15.59,15.36,16.32,8.47,15.83,2.69,26.82,-4.82,-10.68,-1.49,-4.97,-1.01,3.54,254.54,231.02,3.82,3.41,0
JSW Cement,544480,JSWCEMENT,Cement & Cement Products,150.11,5.95,11881.16,,-1.12,,,27.78,20465.47,,,,1.6,3.54,123.52,-409.36,0.08,6.2,3.49,,-80.3,47.2,7.67,14.83,,,,,,,585.94,126.75,-8.95,2.22,,20.27,4622.06,2968.74,4572.86,3293.27,248.83,-795.94,6784.63,6562.53,-1383.9,-913.1,-1458.2,2797.55,3919.32,-3485.7,-5701.45,,,4.78,3.59,0
JSW Energy,533148,JSWENERGY,Power,504.1,7.94,89455.41,3.22,12.43,25.61,40.56,22.95,88105.01,-28.95,52.38,12.63,7.67,6.29,4695.17,-2868.45,2.96,7.45,2.34,43.33,-160.98,40.65,12.88,7.26,1.78,11.69,-0.28,10.31,68.6,-5.43,3182.14,1442.76,13.09,12.78,9.52,11.17,8942.57,9840.48,14830.64,16712.75,-1284.69,-785.12,54155.24,50185.18,-1741.27,-6819.18,-2802.51,12156.38,18808.27,-37964.99,-40381.46,105.93,88.31,5.51,6.48,0
JSW Holdings,532642,JSWHL,Finance,18876,0.94,35265.21,0.67,159.52,33.58,118.33,123.96,20952.36,152.35,50.92,73.49,0.97,83.5,3.41,169.03,0.9,1.19,2.22,41.31,26.56,2.13,10.05,15.44,8.9,12.97,8.9,12.97,15.94,0.03,212.11,181.95,9.07,15.17,15.74,46.31,0,0,0.01,0.06,16.59,17.64,0,0,23.48,582.41,779.91,582.41,779.9,-579.31,-782.41,17977.53,11353.77,,,0
JSW Infrast,543994,JSWINFRA,Transport Infrastructure,300.1,16.19,16807.07,6.5,7.6,48.32,39.5,30,63021.05,-2.25,,,17.94,13.44,2482.07,25.82,9.21,15.68,7.69,48.32,20.05,59.2,25.34,31.39,63.87,51.52,-49.71,-25.41,-23.14,,1326.08,787.14,27.76,29.28,21.24,40.28,4740.17,3109.22,6133.89,3947.99,1429.68,675.82,9522.93,5042.13,2606.73,3108.73,3196.45,5700.89,7887.96,-6776.25,-9214.36,,,0.99,0.56,0.7
JSW Steel,500228,JSWSTEEL,Ferrous Metals,1073.1,14.37,240445,3.3,19.8,20.56,51.45,12.56,262421.67,15.04,30.23,16.16,7.42,1.55,13285,8264,2.47,9.91,3.15,32.2,-32.65,16.54,4.87,18.15,-43.26,-3.34,-43.48,-3.56,-7.24,0.28,19754.2,9064.88,-17.4,13.65,6.46,8.88,72237,61423,99880,62085,7815,-7212,124466,98752,4291,13369,39173,56300,101359,-42209,-64659,278.41,193.46,2.94,2.75,0
JTEKT India,520057,JTEKTINDIA,Auto Components,159.13,8.96,1467.81,5.02,2.57,44.8,62.47,22.7,4414.22,-2.01,16.34,18.3,11.42,1.83,16.31,-81.95,7.47,14.65,7.59,47.49,22.73,50.92,14.21,9.4,25.68,21.77,24.04,20.82,0.13,1,88.44,61.09,16.81,8.4,-0.58,8.31,70.99,78.13,367.1,449.74,171.51,134.36,580.72,156.03,58.63,-103.23,-69.72,449.65,628.7,-527.01,-663.22,22.75,21.64,9,8.43,0
JTL Industries,534600,JTLIND,Industrial Products,79.81,18.06,1314.65,2.5,2.2,26.16,36.31,-14.19,3049.07,-32.2,66.43,17.58,15.93,1.6,68.48,-363.59,15.06,22.97,7.51,28.72,100.14,40.05,12.19,52.8,17.4,57.86,0.1,40.32,30.49,-5.12,108.93,76.41,15.9,49.9,38.36,31.79,94.31,58.16,48.58,23.68,130.48,39.03,189.16,53.49,839.79,-496.1,-511.69,-231.13,-219,-323.72,-365.62,8.35,4.57,13.96,8.25,8.94
Jubilant Agri,544355,JUBLCPL,Chemicals & Petrochemicals,2865.5,,734.98,13.26,,29.23,40.55,33.45,4317.48,,,,,2.62,5.94,94.15,,33.22,13.21,29.23,31.59,70.15,,,,,,,,,,,,,,23.91,,,,,,,180.4,77.72,166.08,,,,,,,,,,,
Jubilant Food.,533155,JUBLFOOD,Leisure Services,656,16.59,8404,20.59,3.74,110.16,164.3,25.95,43285.85,1.29,7.99,2.33,13.72,5.11,154.23,797.32,4.65,13.49,9.8,142.06,-56.1,11.31,22.8,15.7,-19.96,-6.03,-19.96,-6.03,1.65,-1.66,680.37,304.96,13.03,11.72,19.91,17.34,2106.1,1670.06,2736.6,2188.72,-96.43,95.98,6434.5,4371.82,-995.51,1147.26,2153.59,3703.8,5384.47,-2730.29,-3986.6,29.48,21.63,8.09,7.67,0
Jubilant Ingrev.,543271,JUBLINGREA,Chemicals & Petrochemicals,717.8,11.53,5015.12,3.91,17.42,37.01,41.2,22.5,11433.2,0.43,,14.9,9.24,2.73,98.73,155.92,5.67,12.38,5.69,37.01,36.13,47.53,-5.49,,-19.57,330.62,-19.57,46.03,,-6.25,406.57,258.73,-13.9,404.84,,-3.57,237.85,0,1798.28,0,711.79,-0.12,2580.98,763.79,436.01,4.03,314,1400.54,1965.56,-1425.76,-1463.1,152.76,120.73,4.35,1.38,0
Jubilant Pharmo,530019,JUBLPHARMA,Pharmaceuticals & Biotechnology,1070.4,5.62,12584.2,2.73,28.89,13.72,35.09,15.9,17051.47,12.48,9.07,48.54,1.41,2.3,1088.8,-38.5,0.41,6.47,3.82,34.15,43.04,50.23,5.68,3.9,10.27,-9.56,10.27,-9.56,-2.06,-3,722.2,301.32,1.94,-7.39,-3.36,2.47,3192,4808.39,4870.61,6339.97,1917.59,2419.34,5175.9,2731,1412.6,-90.4,1420.65,2704.1,5325.91,-557.7,-1607.54,333.87,297.65,1.36,1.1,0
Julien Agro,536073,,Construction,8.19,,72.23,0.72,0.77,24.06,10.63,1.42,32.41,-34.84,,,41.28,0.22,3,22.77,66.84,1.25,3.92,24.06,650.7,48.79,830.09,246.97,105.22,15.12,105.25,15.12,91.68,-13.6,0.29,8.61,231.71,15.24,,465.29,1.28,0,0.22,0.01,0.21,-0.51,0.22,0.79,7.16,62.06,59.23,62.06,59.23,-59.99,-57.18,-0.21,-0.18,,,0
Jullundur Motor,,JMA,Auto Components,92.13,12.64,344.63,0.85,11.48,6.94,8.03,-104.51,210.43,-14.69,26.9,7.75,12.07,0.37,11.96,-2.34,8.62,16.49,4.74,7.03,122.16,62.09,8.32,8.98,2.45,12.95,2.45,19.13,14.84,0,34.17,24.97,3.31,12.23,8.67,7.16,0,0,13.47,15.36,150.88,124.89,16.33,0,219.7,6.76,43.83,12.48,48.4,-7.87,-5.98,79.75,71.09,5.71,5.1,0
Jumbo Bag,516078,,Industrial Products,71.91,6.97,101.98,1.62,5.99,7.29,11.99,-33.01,60.19,57.77,55.15,44.37,7.33,0.47,3.14,-5.49,2.61,9.33,3.2,11.68,29.69,106.07,-1.06,6.6,-4.3,29.09,-4.3,29.09,16.13,0,6.6,2.27,1.06,8.43,3.83,-5.64,46.29,39.34,25.76,26.19,13.53,4.17,31.62,46.51,11.93,10.83,9.12,23.25,26.5,-12.3,-17.3,37.84,36.76,3.37,2.15,0
Jungle Camps,544304,,Leisure Services,60.99,,62.97,1.86,2.61,19.24,23.34,18.61,94.53,,,,13.69,4.28,28.42,-3.64,8.96,15.58,4.72,19.24,-75.88,7.51,44.07,,77.03,,-17.55,,,,2.71,1.76,56.73,,,50.2,3.91,,10.16,,-3.41,,20.92,4.02,27.38,-7.5,-7.54,8.17,10.39,-13.83,-15.89,,,,,0
Juniper Hotels,544129,JUNIPER,Leisure Services,290.2,-5.72,4392.88,2.37,3.08,182.06,83.58,20.88,6457.02,-26.5,,,1.42,6.69,17.91,-144.99,0.44,6.85,3.67,182.06,-116.76,24.12,45.16,11.87,33.46,22.87,,,,,123.38,-64.59,53.67,16.44,,22.62,2504.26,1717.66,2829.55,2556.7,-152.82,-238.64,3633.04,1457.46,102.01,408.64,361.44,922.76,939.89,-723.38,-794.26,,,4.94,3.2,0
Jupiter Info.,534623,,Retailing,54.3,13.23,40.12,2.09,2.03,11.64,26.8,50.75,54.41,29.32,11.16,33.84,17.06,24.08,9.63,1.07,19.82,25.78,4.05,11.26,389.6,111.35,-24.2,4.73,138.62,52.98,138.62,52.98,70.49,-2.42,4.51,2.18,118.56,78.22,96.19,-10.95,0,0,1.25,0.77,1.49,1.17,0.75,0.02,14.49,9.97,8.46,9.68,9,-1.8,-8.29,14,10.21,5.58,1.3,0
Jupiter Life Lin,543980,JLHL,Healthcare Services,1426.7,17.05,1904.89,6.9,29.38,52.64,48.57,36.95,9354.3,6.29,,,18.62,7.09,488.67,-67.03,11.75,20.51,10.29,52.64,-16.19,16.75,19.83,22.2,54.6,43.62,42.06,36.51,,,163.63,97.63,26.61,29.88,,20.27,495.25,271.93,683.92,434.56,54.51,28.36,977.4,393.15,420.35,2.78,-69.5,484.99,745.37,-558.33,-937.83,,,11.11,8.45,0
Jupiter Wagons,533272,JWL,Industrial Manufacturing,323.35,18.02,3871.12,4.99,7.46,41.2,43.35,68.54,13726.14,-40.9,80.77,57.07,19.97,4.05,417.64,91.42,11.78,25.84,8.27,41.2,42.92,53.65,48.65,98.45,95.14,124.77,16.14,68.72,18.57,-6.51,289.49,186.4,70.27,155.03,146.42,75.52,139.21,50.2,425.74,111.05,210.51,4.62,581.69,394.47,1033.83,2.03,62.55,266.81,393.7,-1408.71,-1518.02,76.36,70.77,3.27,5.24,0
Just Dial,535648,JUSTDIAL,Retailing,821.05,3.7,5520.61,1.52,70.86,27.28,11.59,22.4,6982.59,-33.81,16.22,10.56,3.86,6.02,310.31,305.39,3.1,4.54,3.77,58.68,-194.18,0,20.85,3.68,149.64,-0.41,148.4,-5.65,5.73,-2.9,143.94,113.91,171.83,-2.65,6.62,9.49,55.33,76.42,133.55,172.42,-351.61,-339.07,142.7,99.84,-267.79,716.36,876.14,749.51,927.65,-682.56,-2695.56,416.99,204.3,,,0
Jyothy Labs,532926,JYOTHYLAB,Household Products,331.9,16.79,2690.78,5.95,10.09,33.69,33.3,39.14,12187.85,-39.26,18.87,19.36,18.45,4.28,142.35,253.6,13.69,23.24,10.17,34.33,30.36,27.36,9.03,10.72,31.52,16.24,31.51,16.24,12.69,0,345.56,264.3,27.09,15.11,9.96,11.57,171.24,282.97,1121.83,1149.18,203.42,-95.89,1141.34,61.28,444.19,1013.57,1571.26,1097.99,1702.71,-553.87,-714.7,39.31,38.9,4.56,4.12,0
Jyoti,504076,,Electrical Equipment,100.3,,318.32,,8.51,12.43,11.78,14.39,231.62,16.45,68.43,111.58,,0.86,29.9,12.95,4.01,6.44,1.73,14.56,-103.55,331.51,26.76,17.91,123.18,26.06,123.18,26.06,0.35,0,8.56,6.99,13.21,50.46,-1.63,13.46,270.68,521.14,47.36,64.7,86.2,-222.36,35.12,220.75,-83.34,49.32,117.38,55.85,124.43,1.6,18.93,-29.97,-126.86,6.1,5.12,0
Jyoti CNC Auto.,544081,JYOTICNC,Industrial Manufacturing,896.75,12.84,2791.97,12.1,14.8,98.71,60.6,-193.42,20394.17,-22.61,,,19.53,10.93,125.31,-415.26,6.52,17.73,14.27,98.71,111.89,74.31,34.53,21.49,104.93,42.76,41.88,20.2,,,169.32,65.02,88.31,93.47,,35.8,792.16,648.12,292.5,343.86,-114.94,-43.63,468.74,496.88,1135.03,-569.74,-557.97,-111.53,-44.93,-531.09,-580.13,,,0.66,0.45,0
Jyoti Global,,JYOTIGLOBL,Industrial Products,58.2,,56.82,,3.92,14.94,18.97,14.32,115.35,,,,28,1.23,2.05,3.99,8.01,19.21,6.07,14.94,-10.32,82.85,10.04,,50.04,,-52.24,,,,6.02,2.97,35.09,,,7.14,19.14,,13.08,,0.22,,17.56,25.31,1.03,0.77,-1.75,11.73,14.82,-11.7,-18.27,,,18.4,,0
Jyoti Resins,514448,,Chemicals & Petrochemicals,1266.3,42.75,368.27,6.63,60.43,24.57,20.96,103.02,1519.56,-12.15,76.2,-3.01,44.83,5.24,152.95,13.02,25.56,62.92,9.71,25.62,14.64,140.79,16.01,31.04,59,56.42,59,56.42,83.61,0.86,57.91,43.39,58.18,54.5,78.2,37.75,0.05,1.21,46.27,18.79,16.4,1.32,48.38,0,178.41,36.22,24.83,42.41,55.45,12.23,0.74,52.11,36.62,12.81,6.49,0
